dataset,e_ezr,e_lime,e_shap,e_rand,e_best,l_ezr,l_lime,l_shap,l_rand,l_best,k,n_x,e_full,l_full
7z,0.0,1.3,0.0,-2.6,lime,4.2,0.1,0.2,1.8,ezr lime shap rand,4,14,91.5,86.6
A2C_Acrobot,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand,6,10,56.9,56.0
A2C_CartPole,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand,6,7,22.5,25.3
Apache_AllMeasurements,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap,8,9,94.9,100.0
BDBC,0.0,0.3,0.2,-0.0,lime shap,-0.3,0.1,0.1,0.1,lime shap rand,6,16,98.8,98.8
BankChurners,0.0,0.0,0.0,-12.5,ezr lime shap,0.0,0.4,0.0,-4.1,ezr lime shap,8,19,59.1,66.5
Car_price_cleaned,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand,8,38,50.3,51.4
Data_COVID19_Indonesia,0.0,0.0,0.0,0.0,ezr lime shap rand,0.7,0.0,0.0,-2.0,ezr lime shap,8,35,86.1,88.3
FFM-1000-200-0.50-SAT-1,0.0,0.0,0.0,-18.8,ezr,-29.8,-6.0,-6.0,-45.7,lime shap,8,1044,56.1,89.7
FFM-125-25-0.50-SAT-1,0.0,24.2,6.5,-0.2,lime shap,-18.8,0.2,0.0,-47.9,lime,8,128,53.0,93.6
FFM-250-50-0.50-SAT-1,0.0,6.3,6.3,-6.7,lime shap,-25.3,-5.5,-5.5,-43.7,lime shap,8,256,55.7,96.1
FFM-500-100-0.50-SAT-1,0.0,21.1,8.0,-3.2,lime shap,-19.6,0.0,-2.7,-47.1,lime shap,9,510,48.2,92.5
FM-500-100-0.25-SAT-1,0.0,13.1,16.6,-8.1,lime shap,-29.7,-3.9,-13.1,-43.6,lime,9,517,59.7,94.5
FM-500-100-0.50-SAT-1,0.0,5.2,0.0,-27.5,lime,-19.7,-10.8,-5.3,-53.8,lime shap,8,513,61.5,97.7
FM-500-100-0.75-SAT-1,0.0,0.0,0.0,-15.9,ezr,-20.1,-0.1,-2.1,-54.6,lime shap,9,511,55.0,97.9
FM-500-100-1.00-SAT-1,0.0,2.5,4.9,3.2,ezr lime shap rand,-35.8,-3.8,-4.0,-49.7,lime shap,9,511,47.2,97.3
HSMGP_num,0.0,0.0,0.0,-2.5,ezr lime shap,-4.0,0.1,0.0,-4.6,lime shap,5,14,96.6,99.4
HSQLDB,0.0,0.0,0.0,-0.3,ezr shap,0.0,0.0,0.0,-1.3,ezr lime shap,9,18,99.5,99.5
Health-ClosedIssues0000,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.1,1.0,-0.1,ezr lime shap rand,4,5,79.9,79.3
Health-ClosedIssues0001,0.0,0.0,0.0,0.0,ezr lime shap rand,-0.7,0.0,0.0,-1.3,lime shap,4,5,36.8,39.7
Health-ClosedIssues0002,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand,4,5,78.8,78.8
Health-ClosedIssues0003,0.0,0.0,0.0,0.0,ezr lime shap rand,-0.9,0.0,0.0,-4.3,lime shap,4,5,52.2,69.2
Health-ClosedIssues0004,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand,5,5,22.8,30.3
Health-ClosedIssues0005,0.0,0.0,0.0,0.0,ezr lime shap rand,0.8,0.0,0.0,-0.1,ezr lime shap rand,4,5,57.2,59.7
Health-ClosedIssues0006,0.0,0.0,0.0,0.0,ezr lime shap rand,-0.7,0.0,-0.0,-0.5,lime shap,4,5,71.7,71.9
Health-ClosedIssues0007,0.0,0.0,0.0,0.0,ezr lime shap rand,-0.1,0.0,0.0,0.0,ezr lime shap rand,4,5,5.0,6.3
Health-ClosedIssues0008,0.0,0.0,0.0,0.0,ezr lime shap rand,-2.6,0.0,0.0,-2.9,lime shap,4,5,59.1,78.6
Health-ClosedIssues0009,0.0,0.0,0.0,0.0,ezr lime shap rand,2.8,-0.2,0.0,-2.6,ezr lime shap rand,4,5,19.7,42.4
Health-ClosedIssues0010,0.0,0.0,0.0,0.0,ezr lime shap rand,-1.6,0.0,0.0,-1.1,ezr lime shap rand,4,5,10.0,16.6
Health-ClosedIssues0011,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand,5,5,100.0,100.0
Health-ClosedPRs0000,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand,3,5,100.0,100.0
Health-ClosedPRs0002,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand,5,5,100.0,100.0
Health-ClosedPRs0003,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand,4,5,98.4,98.4
Health-ClosedPRs0004,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,lime shap,4,5,17.3,100.0
Health-ClosedPRs0005,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand,5,5,100.0,100.0
Health-ClosedPRs0006,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand,5,5,0.5,100.0
Health-ClosedPRs0007,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand,5,5,100.0,100.0
Health-ClosedPRs0008,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand,5,5,-1.6,76.8
Health-ClosedPRs0009,0.0,0.0,0.0,0.0,ezr lime shap,-0.4,0.0,0.0,-2.3,ezr lime shap,4,5,17.7,37.8
Health-ClosedPRs0010,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand,5,5,27.5,53.3
Health-ClosedPRs0011,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand,4,5,100.0,100.0
Health-Commits0000,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand,5,5,72.4,73.4
Health-Commits0001,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand,4,5,96.5,96.5
Health-Commits0002,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand,4,5,34.2,34.2
Health-Commits0003,0.0,0.0,0.0,0.0,lime shap,-2.4,2.5,5.3,7.2,lime shap rand,4,5,22.6,44.3
Health-Commits0004,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand,5,5,26.3,26.7
Health-Commits0005,0.0,0.0,0.0,0.0,ezr lime shap,-1.2,0.0,-0.3,-0.5,ezr lime shap rand,4,5,73.4,82.0
Health-Commits0006,0.0,0.0,0.0,0.0,ezr lime shap rand,-0.2,0.0,-0.3,-0.4,ezr lime shap rand,4,5,43.2,49.1
Health-Commits0007,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.1,-2.1,ezr lime shap rand,4,5,64.8,64.4
Health-Commits0008,0.0,0.0,0.0,0.0,ezr lime shap rand,-0.2,-0.3,0.0,0.0,ezr lime shap rand,4,5,37.5,38.1
Health-Commits0009,0.0,0.0,0.0,0.0,ezr lime shap rand,-6.0,0.0,0.0,5.6,ezr lime shap rand,4,5,65.4,75.9
Health-Commits0010,0.0,0.0,0.0,0.0,ezr lime shap rand,-7.8,-3.9,-1.2,-2.5,lime shap rand,4,5,53.9,66.7
Health-Commits0011,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand,5,5,100.0,100.0
LLVM,0.0,0.0,0.0,-3.2,shap,-3.5,-0.8,0.0,-1.9,lime shap,6,10,93.3,96.4
Life_Expectancy_Data,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap,8,20,90.5,98.8
Loan,0.0,0.0,0.0,-4.9,ezr lime shap,-2.9,0.0,0.0,-26.3,lime,10,31,61.7,81.5
Marketing_Analytics,0.0,0.0,0.0,-5.5,ezr lime,0.0,0.0,0.0,-2.3,ezr lime shap rand,7,31,59.4,66.1
Medical_Data_and_Hospital_Readmissions,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand,10,64,100.0,100.0
PostgreSQL,0.0,0.0,0.0,-0.5,ezr lime shap rand,5.4,4.1,-1.2,5.8,ezr lime shap rand,6,9,92.6,66.7
SQL_AllMeasurements,0.0,-2.4,-2.4,-0.9,ezr lime shap rand,0.0,-3.1,-1.9,-19.4,ezr lime shap rand,10,38,64.6,67.4
SS-A,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand,3,3,92.3,94.8
SS-B,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap,2,3,89.3,100.0
SS-C,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand,3,3,78.5,78.3
SS-D,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand,3,3,52.5,74.8
SS-E,0.0,0.0,0.0,0.0,ezr lime shap rand,0.0,0.0,0.0,0.0,ezr lime shap rand,3,3,76.2,96.3
