Data                       rows  held  spread  forest     r  skill     knn     r  skill    mean     r  skill
7z                        68640   100   140.2     0.2  1.00   1.00     8.2  0.99   0.92    97.0  0.00   0.00
A2C_Acrobot                 223    74    38.0    27.2  0.42   0.16    26.7  0.45   0.18    32.5  0.00   0.00
A2C_CartPole                317   100    14.2     8.4  0.67   0.30     9.5  0.59   0.22    12.1  0.00   0.00
Apache_AllMeasurements      192    64    71.4    12.8  0.97   0.80    26.6  0.93   0.59    64.2  0.00   0.00
BDBC                       2560   100   138.6     0.1  1.00   1.00    26.7  0.97   0.75   106.1  0.00   0.00
BankChurners              10127   100    25.3     9.4  0.88   0.51    16.6  0.58   0.14    19.2  0.00   0.00
Car_price_cleaned           205    68    18.2     7.8  0.84   0.50    10.9  0.70   0.31    15.6  0.00   0.00
Data_COVID19_Indonesia    21759   100    18.4     0.3  1.00   0.98     1.0  0.99   0.92    12.4  0.00   0.00
FFM-1000-200-0.50-SAT-    10000   100    46.6     2.7  1.00   0.93     9.6  0.97   0.75    37.8  0.00   0.00
FFM-125-25-0.50-SAT-1     10000   100    36.3     2.3  1.00   0.92     7.7  0.97   0.74    29.5  0.00   0.00
FFM-250-50-0.50-SAT-1     10000   100    38.7     4.1  0.99   0.87     8.5  0.97   0.73    31.6  0.00   0.00
FFM-500-100-0.50-SAT-1    10000   100    33.6     4.0  0.99   0.85     7.8  0.96   0.71    27.2  0.00   0.00
FM-500-100-0.25-SAT-1     10000   100    31.2     5.5  0.98   0.78     8.5  0.95   0.66    24.7  0.00   0.00
FM-500-100-0.50-SAT-1     10000   100    31.6     3.6  0.99   0.86     7.2  0.97   0.71    25.3  0.00   0.00
FM-500-100-0.75-SAT-1     10000   100    32.3     3.1  0.99   0.88     6.8  0.97   0.73    25.4  0.00   0.00
FM-500-100-1.00-SAT-1     10000   100    36.7     3.1  0.99   0.90     9.0  0.96   0.70    29.4  0.00   0.00
HSMGP_num                  3456   100   151.7     2.8  1.00   0.97     2.8  1.00   0.97    99.4  0.00   0.00
HSQLDB                      864   100   129.8     4.5  0.97   0.96     4.9  0.97   0.96   111.5  0.00   0.00
Health-ClosedIssues000    10000   100     4.6     1.8  0.72   0.53     2.1  0.62   0.45     3.9  0.00   0.00
Health-ClosedIssues000    10000   100    10.5     3.2  0.83   0.31     4.3  0.63   0.07     4.7  0.00   0.00
Health-ClosedIssues000    10000   100    24.1    11.5  0.75   0.34    11.7  0.77   0.33    17.5  0.00   0.00
Health-ClosedIssues000    10000   100    26.4     9.0  0.84   0.39    12.2  0.55   0.16    14.6  0.00   0.00
Health-ClosedIssues000    10000   100    27.9     1.5  0.99   0.94     3.5  0.98   0.85    23.1  0.00   0.00
Health-ClosedIssues000    10000   100    30.1    18.6  0.70   0.28    18.6  0.68   0.29    26.0  0.00   0.00
Health-ClosedIssues000    10000   100    36.1    19.2  0.73   0.43    20.6  0.68   0.39    33.7  0.00   0.00
Health-ClosedIssues000    10000   100    48.5    19.5  0.86   0.46    22.2  0.83   0.39    36.2  0.00   0.00
Health-ClosedIssues000    10000   100    50.1     3.6  0.99   0.93     5.2  0.98   0.89    49.5  0.00   0.00
Health-ClosedIssues000    10000   100    57.8     0.4  1.00   0.99     0.6  1.00   0.99    55.1  0.00   0.00
Health-ClosedIssues001    10000   100     8.0     3.8  0.73   0.42     4.3  0.58   0.34     6.5  0.00   0.00
Health-ClosedIssues001    10000   100    56.5    21.2  0.76   0.54    19.3  0.78   0.58    46.0  0.00   0.00
Health-ClosedPRs0000      10000   100   142.0     0.0  1.00   1.00     0.0  1.00   1.00   133.9  0.00   0.00
Health-ClosedPRs0002      10000   100    73.5     0.2  1.00   1.00     0.5  1.00   0.99    70.1  0.00   0.00
Health-ClosedPRs0003      10000   100    72.4     0.5  1.00   0.99     0.6  1.00   0.99    69.1  0.00   0.00
Health-ClosedPRs0004      10000   100    35.6     9.0  0.83   0.64    10.0  0.80   0.60    24.9  0.00   0.00
Health-ClosedPRs0005      10000   100    70.1     7.4  0.95   0.89     8.0  0.95   0.88    65.6  0.00   0.00
Health-ClosedPRs0006      10000   100    14.9     4.3  0.66   0.07     4.2  0.65   0.09     4.6  0.00   0.00
Health-ClosedPRs0007      10000   100    37.7    15.1  0.60   0.35    16.6  0.51   0.29    23.3  0.00   0.00
Health-ClosedPRs0008      10000   100    17.8     5.4  0.57   0.29     6.4  0.44   0.16     7.6  0.00   0.00
Health-ClosedPRs0009      10000   100     9.1     3.1  0.82   0.56     3.7  0.72   0.48     7.2  0.00   0.00
Health-ClosedPRs0010      10000   100     9.8     3.4  0.82   0.57     3.9  0.72   0.51     8.0  0.00   0.00
Health-ClosedPRs0011      10000   100    73.4     0.3  1.00   1.00     0.6  1.00   0.99    70.1  0.00   0.00
Health-Commits0000        10000   100    36.9     2.2  0.99   0.93     3.7  0.98   0.89    33.7  0.00   0.00
Health-Commits0001        10000   100    69.5     3.2  0.98   0.95     2.8  0.98   0.96    65.7  0.00   0.00
Health-Commits0002        10000   100    25.4     0.3  1.00   0.99     0.4  1.00   0.98    24.3  0.00   0.00
Health-Commits0003        10000   100    19.8     6.7  0.84   0.56     7.5  0.79   0.51    15.2  0.00   0.00
Health-Commits0004        10000   100    37.5     6.7  0.91   0.77     7.3  0.92   0.75    28.9  0.00   0.00
Health-Commits0005        10000   100    34.9    17.6  0.65   0.32    17.5  0.62   0.33    25.9  0.00   0.00
Health-Commits0006        10000   100    55.6     5.4  0.98   0.90     7.0  0.98   0.87    52.0  0.00   0.00
Health-Commits0007        10000   100    36.4    10.4  0.73   0.60    13.1  0.66   0.50    26.1  0.00   0.00
Health-Commits0008        10000   100    24.7    12.8  0.64   0.26    14.4  0.45   0.16    17.2  0.00   0.00
Health-Commits0009        10000   100    57.9    17.0  0.89   0.65    20.5  0.85   0.58    48.6  0.00   0.00
Health-Commits0010        10000   100    46.2    24.2  0.70   0.42    22.8  0.73   0.45    41.6  0.00   0.00
Health-Commits0011        10000   100    56.8    19.8  0.76   0.58    18.3  0.77   0.61    47.0  0.00   0.00
LLVM                       1024   100    45.1     6.2  0.98   0.84    14.2  0.92   0.64    39.2  0.00   0.00
Life_Expectancy_Data       2938   100    45.7     8.0  0.96   0.78     4.7  0.96   0.87    36.6  0.00   0.00
Loan                      20000   100    25.4     5.0  0.97   0.75    18.0  0.51   0.11    20.3  0.00   0.00
Marketing_Analytics        2205   100    29.0    15.5  0.73   0.34    19.0  0.52   0.20    23.7  0.00   0.00
Medical_Data_and_Hospi    25000   100   107.3   101.5  0.18   0.06   101.8  0.13   0.05   107.7  0.00   0.00
PostgreSQL                19008   100   172.3   106.2  0.32  -0.00   111.7  0.19  -0.06   105.7  0.00   0.00
SQL_AllMeasurements        4653   100    38.0    24.5  0.53   0.22    27.6  0.33   0.12    31.3  0.00   0.00
SS-A                       1343   100    72.1     5.8  0.99   0.89    14.8  0.95   0.72    53.6  0.00   0.00
SS-B                        206    68    32.4     2.8  0.99   0.90     5.4  0.97   0.81    27.9  0.00   0.00
SS-C                       1512   100    65.8     5.6  0.99   0.89    19.4  0.89   0.63    52.5  0.00   0.00
SS-D                        196    65    46.2    10.0  0.90   0.73    35.2  0.40   0.06    37.5  0.00   0.00
SS-E                        756   100    49.9     4.1  0.99   0.90    46.8  0.39  -0.12    41.7  0.00   0.00
SS-F                        196    65    48.3     6.1  0.98   0.85    35.4  0.42   0.12    40.1  0.00   0.00
SS-G                        196    65    45.1     6.2  0.98   0.84    31.7  0.47   0.17    38.2  0.00   0.00
SS-H                        259    86    36.4     0.7  1.00   0.98    21.2  0.68   0.24    27.9  0.00   0.00
SS-I                       1080   100    41.6     3.0  0.99   0.90     8.9  0.93   0.71    30.3  0.00   0.00
SS-J                       3840   100    46.3     1.8  1.00   0.95    11.1  0.94   0.71    38.1  0.00   0.00
SS-K                       2880   100    30.9     2.7  0.98   0.90    15.0  0.80   0.44    26.5  0.00   0.00
SS-L                       1023   100    38.9     2.4  1.00   0.92     7.1  0.97   0.77    30.7  0.00   0.00
SS-M                        864   100   109.9     5.7  0.96   0.94     6.0  0.96   0.94    94.8  0.00   0.00
SS-N                      53662   100    20.8     0.3  1.00   0.98    30.0 -0.27  -0.68    17.8  0.00   0.00
SS-O                        972   100    53.2    19.2  0.89   0.53    21.8  0.85   0.46    40.4  0.00   0.00
SS-P                       1023   100    38.9     2.4  1.00   0.92     7.1  0.97   0.77    30.7  0.00   0.00
SS-Q                       2736   100    54.7     2.0  1.00   0.95    12.3  0.96   0.73    45.1  0.00   0.00
SS-R                       3008   100    50.6     1.6  1.00   0.96    11.7  0.89   0.74    44.7  0.00   0.00
SS-S                       3840   100    90.3     4.1  1.00   0.95    27.8  0.89   0.65    79.1  0.00   0.00
SS-T                       5184   100    78.8     1.7  1.00   0.98    12.7  0.96   0.82    70.3  0.00   0.00
SS-U                       4608   100    67.6     1.4  1.00   0.98     3.4  1.00   0.94    57.3  0.00   0.00
SS-V                       6840   100    36.5     2.7  1.00   0.91     3.5  0.99   0.89    31.3  0.00   0.00
SS-W                      65536   100    25.7    10.9  0.85   0.49    12.2  0.81   0.43    21.5  0.00   0.00
SS-X                      86058   100    30.0     2.2  1.00   0.91     3.8  0.99   0.85    25.9  0.00   0.00
Scrum100k                100000   100    29.6     2.8  0.99   0.89     6.6  0.97   0.73    24.6  0.00   0.00
Scrum10k                  10000   100    29.2     3.9  0.99   0.84     8.7  0.94   0.63    23.9  0.00   0.00
Scrum1k                    1000   100    37.1     7.9  0.97   0.74    10.9  0.94   0.64    30.1  0.00   0.00
WA_Fn-UseC_-HR-Employe     1470   100    34.3    13.0  0.82   0.54    25.0  0.41   0.12    28.4  0.00   0.00
WA_Fn-UseC_-Telco-Cust     7043   100    66.0     3.6  1.00   0.94     8.8  0.98   0.84    55.9  0.00   0.00
Wine_quality               1599   100    31.1    17.1  0.66   0.29    16.0  0.66   0.34    24.2  0.00   0.00
X264_AllMeasurements       1152   100    67.5     0.1  1.00   1.00     7.4  0.99   0.87    57.1  0.00   0.00
accessories                1121   100     4.2     0.7  0.94   0.70     1.2  0.91   0.49     2.3  0.00   0.00
all_players               17737   100    31.7     8.9  0.94   0.64    10.4  0.91   0.58    24.8  0.00   0.00
auto93                      398   100    39.3    10.3  0.94   0.67    12.1  0.91   0.62    31.8  0.00   0.00
billing10k                10000   100    38.2     3.5  0.99   0.88     9.3  0.96   0.68    28.9  0.00   0.00
coc1000                    1000   100    35.8    29.3 -0.01  -0.02    31.0 -0.05  -0.08    28.8  0.00   0.00
dataset120                 5160   100    49.6    25.1  0.66   0.40    27.2  0.54   0.35    42.0  0.00   0.00
dataset600                 5160   100    51.9    26.0  0.68   0.42    27.3  0.59   0.39    45.1  0.00   0.00
dconvert                   6764   100    74.7     6.5  0.99   0.88     6.8  0.99   0.88    54.8  0.00   0.00
deeparch                   4096   100    70.0     6.8  0.97   0.87    18.1  0.92   0.66    53.4  0.00   0.00
dress-up                    913   100     0.9     0.6  0.86  -0.70     0.2  0.91   0.38     0.3  0.00   0.00
exastencils               86058   100    76.3     1.6  1.00   0.97    16.1  0.94   0.72    56.5  0.00   0.00
home_data_for_ml_cours     1460   100    12.7     5.4  0.76   0.47     5.9  0.72   0.43    10.3  0.00   0.00
javagc                   166975   100   157.6     4.5  1.00   0.96    17.6  0.98   0.83   105.5  0.00   0.00
multiLabel                  445   100    48.5     4.7  0.98   0.89     9.2  0.92   0.79    43.9  0.00   0.00
nasa93dem                    93    31    30.7    17.0  0.72   0.33    18.8  0.64   0.27    25.6  0.00   0.00
player_statistics_clea       81    27    53.8    29.7  0.75   0.33    33.6  0.69   0.24    44.1  0.00   0.00
pom3a                     20000   100    31.1    23.6  0.41   0.05    24.3  0.30   0.02    24.7  0.00   0.00
pom3b                     20000   100    29.3    21.9  0.45   0.05    22.8  0.41   0.01    23.0  0.00   0.00
pom3c                     20000   100    25.0    19.9  0.40   0.06    20.6  0.33   0.03    21.3  0.00   0.00
pom3d                       500   100    49.1    43.2  0.19  -0.02    45.1  0.18  -0.07    42.1  0.00   0.00
redis                      4400   100    20.9    12.5  0.45   0.20    11.7  0.50   0.26    15.7  0.00   0.00
rs-6d-c3_obj1              3840   100   108.5     3.9  1.00   0.96    24.8  0.94   0.73    91.0  0.00   0.00
rs-6d-c3_obj2              3840   100   294.5     6.2  1.00   0.96    50.5  0.89   0.70   166.3  0.00   0.00
socks                       350   100    51.5     0.2  1.00   0.99     1.4  0.99   0.97    40.3  0.00   0.00
sol-6d-c2-obj1             2866   100    85.7     3.7  0.99   0.95    18.8  0.91   0.74    72.8  0.00   0.00
storm                      1557   100   143.1     3.9  1.00   0.96    41.2  0.91   0.60   103.2  0.00   0.00
student_dropout             649   100    41.0     0.0  1.00   1.00    21.7  0.38   0.27    29.9  0.00   0.00
wallpaper                   247    82    28.8    10.1  0.80   0.58     9.8  0.82   0.59    23.7  0.00   0.00
wc+rs-3d-c4-obj1            196    65    59.4     6.7  0.98   0.86    42.5  0.58   0.11    47.5  0.00   0.00
wc+sol-3d-c4-obj1           196    65    63.6     6.9  0.98   0.86    44.0  0.58   0.10    48.7  0.00   0.00
wc+wc-3d-c4-obj1            196    65    64.7    10.4  0.95   0.78    45.9  0.54   0.04    47.6  0.00   0.00
wc-6d-c1-obj1              2880   100    71.2     5.6  0.99   0.91    35.8  0.78   0.41    60.4  0.00   0.00
x264                      53662   100    20.3     0.1  1.00   0.99    30.2 -0.41  -0.72    17.6  0.00   0.00
xomo_flight               10000   100    47.5    12.6  0.94   0.66    22.7  0.78   0.39    37.4  0.00   0.00
xomo_ground               10000   100    36.5    10.8  0.92   0.63    17.1  0.82   0.42    29.3  0.00   0.00
xomo_osp                  10000   100    36.2    10.9  0.93   0.62    19.8  0.69   0.31    28.8  0.00   0.00
xomo_osp2                 10000   100    39.0    12.8  0.91   0.60    23.0  0.68   0.28    31.9  0.00   0.00
